date,매매,분류,code,종목명,PER,PBR,ROE,현재가,연중최고가,연중최저가
2025/12/02/00:59,매수,외국인지분율상승,460850,동국씨엠,2.58,0.16,6.5,5500,7290,-5030
2025/12/02/00:59,매수,외국인지분율상승,900100,애머릿지,,0.57,-37.9,537,1450,-495
2025/12/02/00:59,매수,외국인순매수,900260,로스웰,1.92,0.13,7.4,925,1286,-477
2025/12/02/00:59,매수,외국인순매수,80,하이트진로,14.06,1.12,8.6,18910,22200,-18550
2025/12/02/00:59,매수,외국인순매수,91810,티웨이항공,,4.13,-55.0,1600,4500,-1580
2025/12/02/01:00,매수,가치주,11200,HMM,4.65,0.63,15.4,19980,26250,-17460
2025/12/02/01:00,매수,가치주,14580,태경비케이,5.01,0.64,13.3,4970,6570,-4020
2025/12/02/01:00,매수,가치주,23600,삼보판지,4.6,0.26,5.8,9250,11300,-7190
2025/12/02/01:00,매수,가치주,29460,케이씨,7.67,0.45,6.1,26300,30650,-15620
2025/12/02/01:00,매수,가치주,43150,바텍,5.42,0.66,12.9,-20100,24400,-18500
2025/12/02/01:00,매수,가치주,108320,LX세미콘,6.46,0.78,12.7,51800,68000,-46150
2025/12/02/01:00,매수,가치주,383800,LX홀딩스,,,,7980,10420,-5920
2025/12/02/01:00,매수,중소형저평가우량주,4590,한국가구,4.52,0.37,8.9,4820,6210,-3805
2025/12/02/01:00,매수,중소형저평가우량주,23600,삼보판지,4.6,0.26,5.8,9250,11300,-7190
2025/12/02/01:00,매수,중소형저평가우량주,43150,바텍,5.42,0.66,12.9,-20100,24400,-18500
2025/12/02/01:00,매수,대형저평가우량주,660,SK하이닉스,19.79,5.15,31.1,538000,646000,-162700
2025/12/02/01:00,매수,대형저평가우량주,11200,HMM,4.65,0.63,15.4,19980,26250,-17460
2025/12/02/01:00,매수,대형저평가우량주,31980,피에스케이홀딩스,10.35,2.3,24.8,46000,61500,-30200
2025/12/02/01:00,매수,대형저평가우량주,53800,안랩,18.58,1.69,10.4,60700,116700,-58000
2025/12/02/01:00,매수,대형저평가우량주,67160,SOOP,7.96,1.87,30.2,70100,135900,-67300
2025/12/02/01:00,매수,대형저평가우량주,95610,테스,19.14,2.11,13.6,41300,51400,-15200
2025/12/02/01:00,매수,대형저평가우량주,102710,이엔에프테크놀로지,21.7,1.7,8.2,47250,64000,-16250
2025/12/02/01:00,매수,대형저평가우량주,108320,LX세미콘,6.46,0.78,12.7,51800,68000,-46150
2025/12/02/01:00,매수,대형저평가우량주,319660,피에스케이,11.46,1.92,18.3,31300,41400,-16210
2025/12/02/01:00,매수,대형저평가우량주,383800,LX홀딩스,3.87,0.33,9.1,7980,10420,-5920
2025/12/02/01:00,매수,실적호전주,20120,키다리스튜디오,,0.68,-3.7,-3650,4570,-2755
2025/12/02/01:00,매수,실적호전주,25550,한국선재,,0.66,-1.0,-3450,6150,-3110
2025/12/02/01:00,매수,실적호전주,30210,다올투자증권,,0.4,-7.8,-3460,4250,-2620
2025/12/02/01:00,매수,실적호전주,31980,피에스케이홀딩스,10.35,2.3,24.8,46000,61500,-30200
2025/12/02/01:00,매수,실적호전주,36090,위지트,90.26,0.63,0.7,649,846,-606
2025/12/02/01:00,매수,실적호전주,36220,오상헬스케어,,,-3.9,12960,23850,-10800
2025/12/02/01:00,매수,실적호전주,39030,이오테크닉스,78.5,5.49,7.4,273000,301500,-111200
2025/12/02/01:00,매수,실적호전주,54920,한컴위드,,0.76,-2.7,3990,6090,-2415
2025/12/02/01:00,매수,실적호전주,89140,넥스턴앤롤코리아,,0.21,-9.5,2350,3480,-2110
2025/12/02/01:00,매수,실적호전주,123420,위메이드플레이,4.16,0.37,10.2,8550,12830,-5830
2025/12/02/01:00,매수,실적호전주,227950,엔투텍,,0.43,-25.9,-359,690,-338
2025/12/02/01:00,매수,실적호전주,403870,HPSP,30.09,7.09,31.1,31300,38350,-21150
2025/12/02/01:00,매수,실적호전주,450950,아스테라시스,83.18,22.67,40.6,13590,17480,-6340
2025/12/02/01:00,매수,수익성이좋은기업,3280,흥아해운,9.87,1.71,20.1,1625,2545,-1414
2025/12/02/01:00,매수,수익성이좋은기업,11200,HMM,4.65,0.63,15.4,19980,26250,-17460
2025/12/02/01:00,매수,수익성이좋은기업,101160,월덱스,5.72,1.21,23.8,22550,28700,-15500
2025/12/02/01:00,매수,수익성이좋은기업,403870,HPSP,30.09,7.09,31.1,31300,38350,-21150
2025/12/02/01:00,매수,수익성이좋은기업,458650,성우,7.6,0.72,10.7,10600,24050,-10110
2025/12/02/01:00,매수,수익성이좋은기업,489500,엘케이켐,12.23,2.74,29.7,17980,77800,-16410
2025/12/02/01:00,매수,시총대비영업이익30%이상,370,한화손해보험,2.35,0.28,11.3,-5210,8150,-3640
2025/12/02/01:00,매수,시총대비영업이익30%이상,12620,원일특강,5.08,0.21,4.2,-7680,9150,-6620
2025/12/02/01:00,매수,시총대비영업이익30%이상,32190,다우데이타,4.04,0.49,13.0,17340,20750,-9690
